simulation,generation,rho,alpha
4,2,0.546875,0.1111111111111111
4,3,0.484375,0.1111111111111111
4,4,0.375,0.1111111111111111
4,5,0.34375,0.1111111111111111
4,6,0.34375,0.1111111111111111
4,7,0.328125,0.1111111111111111
4,8,0.1875,0.1111111111111111
4,9,0.15625,0.1111111111111111
4,10,0.09375,0.1111111111111111
4,11,0.078125,0.1111111111111111
4,12,0.078125,0.1111111111111111
4,13,0.125,0.1111111111111111
4,14,0.15625,0.1111111111111111
4,15,0.125,0.1111111111111111
4,16,0.109375,0.1111111111111111
4,17,0.0625,0.1111111111111111
4,18,0.078125,0.1111111111111111
4,19,0.109375,0.1111111111111111
4,20,0.09375,0.1111111111111111
4,21,0.109375,0.1111111111111111
4,22,0.109375,0.1111111111111111
4,23,0.09375,0.1111111111111111
4,24,0.078125,0.1111111111111111
4,25,0.078125,0.1111111111111111
4,26,0.03125,0.1111111111111111
4,27,0.046875,0.1111111111111111
4,28,0.015625,0.1111111111111111
4,29,0.015625,0.1111111111111111
4,30,0.015625,0.1111111111111111
4,31,0.0,0.1111111111111111
5,0,1,0.1111111111111111
5,1,0.65625,0.1111111111111111
5,2,0.515625,0.1111111111111111
5,3,0.453125,0.1111111111111111
5,4,0.328125,0.1111111111111111
5,5,0.3125,0.1111111111111111
5,6,0.28125,0.1111111111111111
5,7,0.171875,0.1111111111111111
5,8,0.0625,0.1111111111111111
5,9,0.078125,0.1111111111111111
5,10,0.046875,0.1111111111111111
5,11,0.0625,0.1111111111111111
5,12,0.015625,0.1111111111111111
5,13,0.015625,0.1111111111111111
5,14,0.046875,0.1111111111111111
5,15,0.046875,0.1111111111111111
5,16,0.03125,0.1111111111111111
5,17,0.046875,0.1111111111111111
5,18,0.09375,0.1111111111111111
5,19,0.078125,0.1111111111111111
5,20,0.0625,0.1111111111111111
5,21,0.09375,0.1111111111111111
5,22,0.03125,0.1111111111111111
5,23,0.015625,0.1111111111111111
5,24,0.015625,0.1111111111111111
5,25,0.03125,0.1111111111111111
5,26,0.015625,0.1111111111111111
5,27,0.0,0.1111111111111111
6,0,1,0.1111111111111111
6,1,0.71875,0.1111111111111111
6,2,0.4375,0.1111111111111111
6,3,0.40625,0.1111111111111111
6,4,0.40625,0.1111111111111111
6,5,0.359375,0.1111111111111111
6,6,0.3125,0.1111111111111111
6,7,0.28125,0.1111111111111111
6,8,0.21875,0.1111111111111111
6,9,0.109375,0.1111111111111111
6,10,0.140625,0.1111111111111111
6,11,0.15625,0.1111111111111111
6,12,0.140625,0.1111111111111111
6,13,0.140625,0.1111111111111111
6,14,0.203125,0.1111111111111111
6,15,0.09375,0.1111111111111111
6,16,0.109375,0.1111111111111111
6,17,0.078125,0.1111111111111111
6,18,0.09375,0.1111111111111111
6,19,0.09375,0.1111111111111111
6,20,0.0625,0.1111111111111111
6,21,0.046875,0.1111111111111111
6,22,0.078125,0.1111111111111111
6,23,0.078125,0.1111111111111111
6,24,0.109375,0.1111111111111111
6,25,0.03125,0.1111111111111111
6,26,0.03125,0.1111111111111111
6,27,0.0,0.1111111111111111
7,0,1,0.1111111111111111
7,1,0.53125,0.1111111111111111
7,2,0.375,0.1111111111111111
7,3,0.328125,0.1111111111111111
7,4,0.328125,0.1111111111111111
7,5,0.25,0.1111111111111111
7,6,0.25,0.1111111111111111
7,7,0.234375,0.1111111111111111
7,8,0.21875,0.1111111111111111
7,9,0.15625,0.1111111111111111
7,10,0.1875,0.1111111111111111
7,11,0.171875,0.1111111111111111
7,12,0.15625,0.1111111111111111
7,13,0.046875,0.1111111111111111
7,14,0.015625,0.1111111111111111
7,15,0.015625,0.1111111111111111
7,16,0.03125,0.1111111111111111
7,17,0.015625,0.1111111111111111
7,18,0.03125,0.1111111111111111
7,19,0.0,0.1111111111111111
8,0,1,0.1111111111111111
8,1,0.734375,0.1111111111111111
8,2,0.515625,0.1111111111111111
8,3,0.515625,0.1111111111111111
8,4,0.34375,0.1111111111111111
8,5,0.359375,0.1111111111111111
8,6,0.234375,0.1111111111111111
8,7,0.1875,0.1111111111111111
8,8,0.15625,0.1111111111111111
8,9,0.15625,0.1111111111111111
8,10,0.1875,0.1111111111111111
8,11,0.109375,0.1111111111111111
8,12,0.0625,0.1111111111111111
8,13,0.078125,0.1111111111111111
8,14,0.09375,0.1111111111111111
8,15,0.140625,0.1111111111111111
8,16,0.09375,0.1111111111111111
8,17,0.046875,0.1111111111111111
8,18,0.078125,0.1111111111111111
8,19,0.078125,0.1111111111111111
8,20,0.09375,0.1111111111111111
8,21,0.0625,0.1111111111111111
8,22,0.015625,0.1111111111111111
8,23,0.015625,0.1111111111111111
8,24,0.0,0.1111111111111111
9,0,1,0.1111111111111111
9,1,0.5625,0.1111111111111111
9,2,0.59375,0.1111111111111111
9,3,0.484375,0.1111111111111111
9,4,0.375,0.1111111111111111
9,5,0.234375,0.1111111111111111
9,6,0.234375,0.1111111111111111
9,7,0.140625,0.1111111111111111
9,8,0.09375,0.1111111111111111
9,9,0.0625,0.1111111111111111
9,10,0.0625,0.1111111111111111
9,11,0.0625,0.1111111111111111
9,12,0.078125,0.1111111111111111
9,13,0.0625,0.1111111111111111
9,14,0.078125,0.1111111111111111
9,15,0.046875,0.1111111111111111
9,16,0.015625,0.1111111111111111
9,17,0.0,0.1111111111111111
10,0,1,0.1111111111111111
10,1,0.71875,0.1111111111111111
10,2,0.609375,0.1111111111111111
10,3,0.515625,0.1111111111111111
10,4,0.5,0.1111111111111111
10,5,0.5,0.1111111111111111
10,6,0.515625,0.1111111111111111
10,7,0.515625,0.1111111111111111
10,8,0.375,0.1111111111111111
10,9,0.375,0.1111111111111111
10,10,0.359375,0.1111111111111111
10,11,0.265625,0.1111111111111111
10,12,0.1875,0.1111111111111111
10,13,0.234375,0.1111111111111111
10,14,0.171875,0.1111111111111111
10,15,0.21875,0.1111111111111111
10,16,0.1875,0.1111111111111111
10,17,0.15625,0.1111111111111111
10,18,0.203125,0.1111111111111111
10,19,0.15625,0.1111111111111111
10,20,0.109375,0.1111111111111111
10,21,0.0625,0.1111111111111111
10,22,0.03125,0.1111111111111111
10,23,0.03125,0.1111111111111111
10,24,0.046875,0.1111111111111111
10,25,0.015625,0.1111111111111111
10,26,0.0,0.1111111111111111
1,0,1,0.2222222222222222
1,1,0.703125,0.2222222222222222
1,2,0.46875,0.2222222222222222
1,3,0.515625,0.2222222222222222
1,4,0.40625,0.2222222222222222
1,5,0.3125,0.2222222222222222
1,6,0.265625,0.2222222222222222
1,7,0.21875,0.2222222222222222
1,8,0.25,0.2222222222222222
1,9,0.21875,0.2222222222222222
1,10,0.21875,0.2222222222222222
1,11,0.234375,0.2222222222222222
1,12,0.1875,0.2222222222222222
1,13,0.21875,0.2222222222222222
1,14,0.125,0.2222222222222222
1,15,0.09375,0.2222222222222222
1,16,0.0625,0.2222222222222222
1,17,0.09375,0.2222222222222222
1,18,0.03125,0.2222222222222222
1,19,0.046875,0.2222222222222222
1,20,0.046875,0.2222222222222222
1,21,0.078125,0.2222222222222222
1,22,0.046875,0.2222222222222222
1,23,0.046875,0.2222222222222222
1,24,0.046875,0.2222222222222222
1,25,0.03125,0.2222222222222222
1,26,0.015625,0.2222222222222222
1,27,0.015625,0.2222222222222222
1,28,0.015625,0.2222222222222222
1,29,0.015625,0.2222222222222222
1,30,0.046875,0.2222222222222222
1,31,0.015625,0.2222222222222222
1,32,0.0,0.2222222222222222
2,0,1,0.2222222222222222
2,1,0.65625,0.2222222222222222
2,2,0.46875,0.2222222222222222
2,3,0.421875,0.2222222222222222
2,4,0.390625,0.2222222222222222
2,5,0.296875,0.2222222222222222
2,6,0.296875,0.2222222222222222
2,7,0.296875,0.2222222222222222
2,8,0.25,0.2222222222222222
2,9,0.203125,0.2222222222222222
2,10,0.0625,0.2222222222222222
2,11,0.078125,0.2222222222222222
2,12,0.09375,0.2222222222222222
2,13,0.0625,0.2222222222222222
2,14,0.09375,0.2222222222222222
2,15,0.125,0.2222222222222222
2,16,0.15625,0.2222222222222222
2,17,0.15625,0.2222222222222222
2,18,0.203125,0.2222222222222222
2,19,0.171875,0.2222222222222222
2,20,0.15625,0.2222222222222222
2,21,0.234375,0.2222222222222222
2,22,0.28125,0.2222222222222222
2,23,0.296875,0.2222222222222222
2,24,0.21875,0.2222222222222222
2,25,0.234375,0.2222222222222222
2,26,0.25,0.2222222222222222
2,27,0.28125,0.2222222222222222
2,28,0.328125,0.2222222222222222
2,29,0.375,0.2222222222222222
2,30,0.359375,0.2222222222222222
2,31,0.3125,0.2222222222222222
2,32,0.296875,0.2222222222222222
2,33,0.203125,0.2222222222222222
2,34,0.234375,0.2222222222222222
2,35,0.203125,0.2222222222222222
2,36,0.140625,0.2222222222222222
2,37,0.109375,0.2222222222222222
2,38,0.140625,0.2222222222222222
2,39,0.171875,0.2222222222222222
2,40,0.171875,0.2222222222222222
2,41,0.109375,0.2222222222222222
2,42,0.125,0.2222222222222222
2,43,0.09375,0.2222222222222222
2,44,0.140625,0.2222222222222222
