delta,sigma/pext,simulation,generation,rho,alpha
0,0,1,27,0.344,0.3333333333333333
0,0,1,28,0.3424,0.3333333333333333
0,0,1,29,0.3488,0.3333333333333333
0,0,1,30,0.3572,0.3333333333333333
0,0,1,31,0.3536,0.3333333333333333
0,0,1,32,0.3396,0.3333333333333333
0,0,1,33,0.3368,0.3333333333333333
0,0,1,34,0.3376,0.3333333333333333
0,0,1,35,0.3244,0.3333333333333333
0,0,1,36,0.3276,0.3333333333333333
0,0,1,37,0.3204,0.3333333333333333
0,0,1,38,0.3208,0.3333333333333333
0,0,1,39,0.3136,0.3333333333333333
0,0,1,40,0.3328,0.3333333333333333
0,0,1,41,0.3292,0.3333333333333333
0,0,1,42,0.3216,0.3333333333333333
0,0,1,43,0.3232,0.3333333333333333
0,0,1,44,0.3196,0.3333333333333333
0,0,1,45,0.34,0.3333333333333333
0,0,1,46,0.346,0.3333333333333333
0,0,1,47,0.326,0.3333333333333333
0,0,1,48,0.3208,0.3333333333333333
0,0,1,49,0.3244,0.3333333333333333
0,0,1,50,0.334,0.3333333333333333
0,0,1,51,0.3344,0.3333333333333333
0,0,1,52,0.3312,0.3333333333333333
0,0,1,53,0.3324,0.3333333333333333
0,0,1,54,0.3416,0.3333333333333333
0,0,1,55,0.3256,0.3333333333333333
0,0,1,56,0.3308,0.3333333333333333
0,0,1,57,0.3232,0.3333333333333333
0,0,1,58,0.3356,0.3333333333333333
0,0,1,59,0.3436,0.3333333333333333
0,0,1,60,0.334,0.3333333333333333
0,0,1,61,0.34,0.3333333333333333
0,0,1,62,0.3444,0.3333333333333333
0,0,1,63,0.3392,0.3333333333333333
0,0,1,64,0.34,0.3333333333333333
0,0,1,65,0.3276,0.3333333333333333
0,0,1,66,0.3484,0.3333333333333333
0,0,1,67,0.3396,0.3333333333333333
0,0,1,68,0.3612,0.3333333333333333
0,0,1,69,0.3496,0.3333333333333333
0,0,1,70,0.3452,0.3333333333333333
0,0,1,71,0.344,0.3333333333333333
0,0,1,72,0.348,0.3333333333333333
0,0,1,73,0.3448,0.3333333333333333
0,0,1,74,0.34,0.3333333333333333
0,0,1,75,0.3392,0.3333333333333333
0,0,1,76,0.3436,0.3333333333333333
0,0,1,77,0.3556,0.3333333333333333
0,0,1,78,0.3412,0.3333333333333333
0,0,1,79,0.3348,0.3333333333333333
0,0,1,80,0.3396,0.3333333333333333
0,0,1,81,0.3444,0.3333333333333333
0,0,1,82,0.3544,0.3333333333333333
0,0,1,83,0.3376,0.3333333333333333
0,0,1,84,0.3428,0.3333333333333333
0,0,1,85,0.3508,0.3333333333333333
0,0,1,86,0.3496,0.3333333333333333
0,0,1,87,0.3512,0.3333333333333333
0,0,1,88,0.3492,0.3333333333333333
0,0,1,89,0.3508,0.3333333333333333
0,0,1,90,0.3552,0.3333333333333333
0,0,1,91,0.3488,0.3333333333333333
0,0,1,92,0.3492,0.3333333333333333
0,0,1,93,0.3508,0.3333333333333333
0,0,1,94,0.3368,0.3333333333333333
0,0,1,95,0.3304,0.3333333333333333
0,0,1,96,0.3328,0.3333333333333333
0,0,1,97,0.3308,0.3333333333333333
0,0,1,98,0.3228,0.3333333333333333
0,0,1,99,0.3088,0.3333333333333333
0,0,1,100,0.3144,0.3333333333333333
0,0,1,0,1,0.4444444444444444
0,0,1,1,0.6968,0.4444444444444444
0,0,1,2,0.582,0.4444444444444444
0,0,1,3,0.5124,0.4444444444444444
0,0,1,4,0.4732,0.4444444444444444
0,0,1,5,0.4488,0.4444444444444444
0,0,1,6,0.4236,0.4444444444444444
0,0,1,7,0.4128,0.4444444444444444
0,0,1,8,0.3956,0.4444444444444444
0,0,1,9,0.3816,0.4444444444444444
0,0,1,10,0.364,0.4444444444444444
0,0,1,11,0.3552,0.4444444444444444
0,0,1,12,0.3596,0.4444444444444444
0,0,1,13,0.3596,0.4444444444444444
0,0,1,14,0.3636,0.4444444444444444
0,0,1,15,0.3444,0.4444444444444444
0,0,1,16,0.3344,0.4444444444444444
0,0,1,17,0.3296,0.4444444444444444
0,0,1,18,0.3288,0.4444444444444444
0,0,1,19,0.3364,0.4444444444444444
0,0,1,20,0.3368,0.4444444444444444
0,0,1,21,0.3384,0.4444444444444444
0,0,1,22,0.3308,0.4444444444444444
0,0,1,23,0.3344,0.4444444444444444
0,0,1,24,0.3232,0.4444444444444444
0,0,1,25,0.3268,0.4444444444444444
0,0,1,26,0.3376,0.4444444444444444
0,0,1,27,0.3436,0.4444444444444444
0,0,1,28,0.3428,0.4444444444444444
0,0,1,29,0.3384,0.4444444444444444
0,0,1,30,0.3476,0.4444444444444444
0,0,1,31,0.3432,0.4444444444444444
0,0,1,32,0.324,0.4444444444444444
0,0,1,33,0.3316,0.4444444444444444
0,0,1,34,0.3428,0.4444444444444444
0,0,1,35,0.336,0.4444444444444444
0,0,1,36,0.3404,0.4444444444444444
0,0,1,37,0.3436,0.4444444444444444
0,0,1,38,0.338,0.4444444444444444
0,0,1,39,0.3336,0.4444444444444444
0,0,1,40,0.326,0.4444444444444444
0,0,1,41,0.3268,0.4444444444444444
0,0,1,42,0.3288,0.4444444444444444
0,0,1,43,0.3444,0.4444444444444444
0,0,1,44,0.3432,0.4444444444444444
0,0,1,45,0.3464,0.4444444444444444
0,0,1,46,0.3572,0.4444444444444444
0,0,1,47,0.3472,0.4444444444444444
0,0,1,48,0.3584,0.4444444444444444
0,0,1,49,0.3548,0.4444444444444444
0,0,1,50,0.3492,0.4444444444444444
0,0,1,51,0.3636,0.4444444444444444
0,0,1,52,0.3532,0.4444444444444444
0,0,1,53,0.3448,0.4444444444444444
0,0,1,54,0.3368,0.4444444444444444
0,0,1,55,0.3372,0.4444444444444444
0,0,1,56,0.332,0.4444444444444444
0,0,1,57,0.336,0.4444444444444444
0,0,1,58,0.33,0.4444444444444444
0,0,1,59,0.344,0.4444444444444444
0,0,1,60,0.336,0.4444444444444444
0,0,1,61,0.3388,0.4444444444444444
0,0,1,62,0.3424,0.4444444444444444
0,0,1,63,0.3364,0.4444444444444444
0,0,1,64,0.3272,0.4444444444444444
0,0,1,65,0.332,0.4444444444444444
0,0,1,66,0.326,0.4444444444444444
0,0,1,67,0.3376,0.4444444444444444
0,0,1,68,0.348,0.4444444444444444
0,0,1,69,0.3472,0.4444444444444444
0,0,1,70,0.3464,0.4444444444444444
0,0,1,71,0.3532,0.4444444444444444
0,0,1,72,0.356,0.4444444444444444
0,0,1,73,0.3556,0.4444444444444444
0,0,1,74,0.3608,0.4444444444444444
0,0,1,75,0.3616,0.4444444444444444
0,0,1,76,0.3584,0.4444444444444444
0,0,1,77,0.354,0.4444444444444444
0,0,1,78,0.3532,0.4444444444444444
0,0,1,79,0.3652,0.4444444444444444
0,0,1,80,0.3764,0.4444444444444444
0,0,1,81,0.3832,0.4444444444444444
0,0,1,82,0.3756,0.4444444444444444
0,0,1,83,0.3668,0.4444444444444444
0,0,1,84,0.3644,0.4444444444444444
0,0,1,85,0.3516,0.4444444444444444
0,0,1,86,0.3592,0.4444444444444444
0,0,1,87,0.3672,0.4444444444444444
0,0,1,88,0.3716,0.4444444444444444
0,0,1,89,0.3708,0.4444444444444444
0,0,1,90,0.3748,0.4444444444444444
0,0,1,91,0.376,0.4444444444444444
0,0,1,92,0.3696,0.4444444444444444
0,0,1,93,0.374,0.4444444444444444
0,0,1,94,0.372,0.4444444444444444
0,0,1,95,0.372,0.4444444444444444
0,0,1,96,0.3644,0.4444444444444444
0,0,1,97,0.3456,0.4444444444444444
0,0,1,98,0.352,0.4444444444444444
0,0,1,99,0.3452,0.4444444444444444
0,0,1,100,0.3448,0.4444444444444444
0,0,1,0,1,0.5555555555555556
0,0,1,1,0.7236,0.5555555555555556
0,0,1,2,0.6028,0.5555555555555556
0,0,1,3,0.5192,0.5555555555555556
0,0,1,4,0.488,0.5555555555555556
0,0,1,5,0.4552,0.5555555555555556
0,0,1,6,0.448,0.5555555555555556
0,0,1,7,0.4268,0.5555555555555556
0,0,1,8,0.4092,0.5555555555555556
0,0,1,9,0.39,0.5555555555555556
0,0,1,10,0.3744,0.5555555555555556
0,0,1,11,0.3832,0.5555555555555556
0,0,1,12,0.3908,0.5555555555555556
0,0,1,13,0.376,0.5555555555555556
0,0,1,14,0.3656,0.5555555555555556
0,0,1,15,0.3544,0.5555555555555556
0,0,1,16,0.3628,0.5555555555555556
0,0,1,17,0.3584,0.5555555555555556
0,0,1,18,0.3664,0.5555555555555556
0,0,1,19,0.376,0.5555555555555556
0,0,1,20,0.38,0.5555555555555556
