simulation,generation,rho,delta,sigma/pext,alpha
1,16,0.388,0.25,0,0,0.3333333333333333
1,17,0.3728,0.25,0,0,0.3333333333333333
1,18,0.3616,0.25,0,0,0.3333333333333333
1,19,0.3516,0.25,0,0,0.3333333333333333
1,20,0.3584,0.25,0,0,0.3333333333333333
1,21,0.356,0.25,0,0,0.3333333333333333
1,22,0.352,0.25,0,0,0.3333333333333333
1,23,0.3436,0.25,0,0,0.3333333333333333
1,24,0.3448,0.25,0,0,0.3333333333333333
1,25,0.3372,0.25,0,0,0.3333333333333333
1,26,0.3496,0.25,0,0,0.3333333333333333
1,27,0.3308,0.25,0,0,0.3333333333333333
1,28,0.3384,0.25,0,0,0.3333333333333333
1,29,0.3244,0.25,0,0,0.3333333333333333
1,30,0.3272,0.25,0,0,0.3333333333333333
1,31,0.328,0.25,0,0,0.3333333333333333
1,32,0.3272,0.25,0,0,0.3333333333333333
1,33,0.3264,0.25,0,0,0.3333333333333333
1,34,0.3292,0.25,0,0,0.3333333333333333
1,35,0.3196,0.25,0,0,0.3333333333333333
1,36,0.318,0.25,0,0,0.3333333333333333
1,37,0.3104,0.25,0,0,0.3333333333333333
1,38,0.3288,0.25,0,0,0.3333333333333333
1,39,0.3332,0.25,0,0,0.3333333333333333
1,40,0.34,0.25,0,0,0.3333333333333333
1,41,0.326,0.25,0,0,0.3333333333333333
1,42,0.3376,0.25,0,0,0.3333333333333333
1,43,0.3468,0.25,0,0,0.3333333333333333
1,44,0.34,0.25,0,0,0.3333333333333333
1,45,0.3376,0.25,0,0,0.3333333333333333
1,46,0.3384,0.25,0,0,0.3333333333333333
1,47,0.344,0.25,0,0,0.3333333333333333
1,48,0.3376,0.25,0,0,0.3333333333333333
1,49,0.3448,0.25,0,0,0.3333333333333333
1,50,0.3404,0.25,0,0,0.3333333333333333
1,51,0.3528,0.25,0,0,0.3333333333333333
1,52,0.352,0.25,0,0,0.3333333333333333
1,53,0.3552,0.25,0,0,0.3333333333333333
1,54,0.3668,0.25,0,0,0.3333333333333333
1,55,0.3464,0.25,0,0,0.3333333333333333
1,56,0.346,0.25,0,0,0.3333333333333333
1,57,0.3288,0.25,0,0,0.3333333333333333
1,58,0.3344,0.25,0,0,0.3333333333333333
1,59,0.3412,0.25,0,0,0.3333333333333333
1,60,0.34,0.25,0,0,0.3333333333333333
1,61,0.3456,0.25,0,0,0.3333333333333333
1,62,0.3504,0.25,0,0,0.3333333333333333
1,63,0.3548,0.25,0,0,0.3333333333333333
1,64,0.3596,0.25,0,0,0.3333333333333333
1,65,0.348,0.25,0,0,0.3333333333333333
1,66,0.3456,0.25,0,0,0.3333333333333333
1,67,0.3536,0.25,0,0,0.3333333333333333
1,68,0.3488,0.25,0,0,0.3333333333333333
1,69,0.3416,0.25,0,0,0.3333333333333333
1,70,0.3436,0.25,0,0,0.3333333333333333
1,71,0.3424,0.25,0,0,0.3333333333333333
1,72,0.3436,0.25,0,0,0.3333333333333333
1,73,0.3348,0.25,0,0,0.3333333333333333
1,74,0.3228,0.25,0,0,0.3333333333333333
1,75,0.3164,0.25,0,0,0.3333333333333333
1,76,0.3208,0.25,0,0,0.3333333333333333
1,77,0.3356,0.25,0,0,0.3333333333333333
1,78,0.3644,0.25,0,0,0.3333333333333333
1,79,0.364,0.25,0,0,0.3333333333333333
1,80,0.3524,0.25,0,0,0.3333333333333333
1,81,0.352,0.25,0,0,0.3333333333333333
1,82,0.346,0.25,0,0,0.3333333333333333
1,83,0.3376,0.25,0,0,0.3333333333333333
1,84,0.3464,0.25,0,0,0.3333333333333333
1,85,0.326,0.25,0,0,0.3333333333333333
1,86,0.3096,0.25,0,0,0.3333333333333333
1,87,0.3096,0.25,0,0,0.3333333333333333
1,88,0.3148,0.25,0,0,0.3333333333333333
1,89,0.3192,0.25,0,0,0.3333333333333333
1,90,0.3316,0.25,0,0,0.3333333333333333
1,91,0.3428,0.25,0,0,0.3333333333333333
1,92,0.3492,0.25,0,0,0.3333333333333333
1,93,0.3392,0.25,0,0,0.3333333333333333
1,94,0.3432,0.25,0,0,0.3333333333333333
1,95,0.348,0.25,0,0,0.3333333333333333
1,96,0.344,0.25,0,0,0.3333333333333333
1,97,0.3452,0.25,0,0,0.3333333333333333
1,98,0.3396,0.25,0,0,0.3333333333333333
1,99,0.3396,0.25,0,0,0.3333333333333333
1,100,0.3428,0.25,0,0,0.3333333333333333
1,0,1,0.25,0,0,0.4444444444444444
1,1,0.714,0.25,0,0,0.4444444444444444
1,2,0.5936,0.25,0,0,0.4444444444444444
1,3,0.5268,0.25,0,0,0.4444444444444444
1,4,0.482,0.25,0,0,0.4444444444444444
1,5,0.4404,0.25,0,0,0.4444444444444444
1,6,0.4208,0.25,0,0,0.4444444444444444
1,7,0.42,0.25,0,0,0.4444444444444444
1,8,0.3856,0.25,0,0,0.4444444444444444
1,9,0.38,0.25,0,0,0.4444444444444444
1,10,0.3712,0.25,0,0,0.4444444444444444
1,11,0.36,0.25,0,0,0.4444444444444444
1,12,0.3648,0.25,0,0,0.4444444444444444
1,13,0.3636,0.25,0,0,0.4444444444444444
1,14,0.3556,0.25,0,0,0.4444444444444444
1,15,0.3536,0.25,0,0,0.4444444444444444
1,16,0.3368,0.25,0,0,0.4444444444444444
1,17,0.3384,0.25,0,0,0.4444444444444444
1,18,0.354,0.25,0,0,0.4444444444444444
1,19,0.3552,0.25,0,0,0.4444444444444444
1,20,0.3496,0.25,0,0,0.4444444444444444
1,21,0.3472,0.25,0,0,0.4444444444444444
1,22,0.3376,0.25,0,0,0.4444444444444444
1,23,0.3492,0.25,0,0,0.4444444444444444
1,24,0.34,0.25,0,0,0.4444444444444444
1,25,0.3356,0.25,0,0,0.4444444444444444
1,26,0.3312,0.25,0,0,0.4444444444444444
1,27,0.3284,0.25,0,0,0.4444444444444444
1,28,0.3488,0.25,0,0,0.4444444444444444
1,29,0.3488,0.25,0,0,0.4444444444444444
1,30,0.3616,0.25,0,0,0.4444444444444444
1,31,0.3512,0.25,0,0,0.4444444444444444
1,32,0.3508,0.25,0,0,0.4444444444444444
1,33,0.3564,0.25,0,0,0.4444444444444444
1,34,0.3468,0.25,0,0,0.4444444444444444
1,35,0.3544,0.25,0,0,0.4444444444444444
1,36,0.3504,0.25,0,0,0.4444444444444444
1,37,0.3424,0.25,0,0,0.4444444444444444
1,38,0.3432,0.25,0,0,0.4444444444444444
1,39,0.3376,0.25,0,0,0.4444444444444444
1,40,0.3552,0.25,0,0,0.4444444444444444
1,41,0.354,0.25,0,0,0.4444444444444444
1,42,0.3524,0.25,0,0,0.4444444444444444
1,43,0.3612,0.25,0,0,0.4444444444444444
1,44,0.3512,0.25,0,0,0.4444444444444444
1,45,0.368,0.25,0,0,0.4444444444444444
1,46,0.3668,0.25,0,0,0.4444444444444444
1,47,0.38,0.25,0,0,0.4444444444444444
1,48,0.3748,0.25,0,0,0.4444444444444444
1,49,0.3676,0.25,0,0,0.4444444444444444
1,50,0.3764,0.25,0,0,0.4444444444444444
1,51,0.3736,0.25,0,0,0.4444444444444444
1,52,0.3712,0.25,0,0,0.4444444444444444
1,53,0.3532,0.25,0,0,0.4444444444444444
1,54,0.3572,0.25,0,0,0.4444444444444444
