simulation,generation,rho,alpha
1,60,0.3452,0.25
1,61,0.3418,0.25
1,62,0.3544,0.25
1,63,0.3535,0.25
1,64,0.3575,0.25
1,65,0.361,0.25
1,66,0.3516,0.25
1,67,0.3532,0.25
1,68,0.3587,0.25
1,69,0.3584,0.25
1,70,0.3575,0.25
1,71,0.3486,0.25
1,72,0.3504,0.25
1,73,0.3474,0.25
1,74,0.3511,0.25
1,75,0.3554,0.25
1,76,0.3493,0.25
1,77,0.3467,0.25
1,78,0.3452,0.25
1,79,0.3432,0.25
1,80,0.3453,0.25
1,81,0.338,0.25
1,82,0.3333,0.25
1,83,0.3315,0.25
1,84,0.3338,0.25
1,85,0.3473,0.25
1,86,0.341,0.25
1,87,0.3471,0.25
1,88,0.3457,0.25
1,89,0.3393,0.25
1,90,0.3408,0.25
1,91,0.3342,0.25
1,92,0.3347,0.25
1,93,0.341,0.25
1,94,0.3389,0.25
1,95,0.3426,0.25
1,96,0.3471,0.25
1,97,0.3439,0.25
1,98,0.347,0.25
1,99,0.3475,0.25
1,100,0.3457,0.25
1,0,1,0.25
1,1,0.7144,0.25
1,2,0.5904,0.25
1,3,0.5106,0.25
1,4,0.4721,0.25
1,5,0.4419,0.25
1,6,0.4292,0.25
1,7,0.4081,0.25
1,8,0.398,0.25
1,9,0.3909,0.25
1,10,0.3816,0.25
1,11,0.3769,0.25
1,12,0.3752,0.25
1,13,0.3753,0.25
1,14,0.3692,0.25
1,15,0.378,0.25
1,16,0.372,0.25
1,17,0.3684,0.25
1,18,0.3659,0.25
1,19,0.3688,0.25
1,20,0.363,0.25
1,21,0.358,0.25
1,22,0.3594,0.25
1,23,0.3601,0.25
1,24,0.3542,0.25
1,25,0.3538,0.25
1,26,0.3508,0.25
1,27,0.3513,0.25
1,28,0.3508,0.25
1,29,0.3552,0.25
1,30,0.3548,0.25
1,31,0.3592,0.25
1,32,0.3551,0.25
1,33,0.3574,0.25
1,34,0.3578,0.25
1,35,0.3599,0.25
1,36,0.36,0.25
1,37,0.3512,0.25
1,38,0.3551,0.25
1,39,0.3584,0.25
1,40,0.3594,0.25
1,41,0.362,0.25
1,42,0.3674,0.25
1,43,0.3603,0.25
1,44,0.3554,0.25
1,45,0.3532,0.25
1,46,0.3582,0.25
1,47,0.3569,0.25
1,48,0.3643,0.25
1,49,0.3637,0.25
1,50,0.3614,0.25
1,51,0.3548,0.25
1,52,0.3533,0.25
1,53,0.3554,0.25
1,54,0.3615,0.25
1,55,0.3546,0.25
1,56,0.3579,0.25
