simulation,generation,rho,p_int
1,95,0.6514,0.3333333333333333
1,96,0.6464,0.3333333333333333
1,97,0.6513,0.3333333333333333
1,98,0.6502,0.3333333333333333
1,99,0.6536,0.3333333333333333
1,100,0.6601,0.3333333333333333
1,0,1,0.4444444444444444
1,1,0.8982,0.4444444444444444
1,2,0.8634,0.4444444444444444
1,3,0.853,0.4444444444444444
1,4,0.8474,0.4444444444444444
1,5,0.8458,0.4444444444444444
1,6,0.8489,0.4444444444444444
1,7,0.8526,0.4444444444444444
1,8,0.8495,0.4444444444444444
1,9,0.8451,0.4444444444444444
1,10,0.8382,0.4444444444444444
1,11,0.8383,0.4444444444444444
1,12,0.8434,0.4444444444444444
1,13,0.8498,0.4444444444444444
1,14,0.8493,0.4444444444444444
1,15,0.8538,0.4444444444444444
1,16,0.8487,0.4444444444444444
1,17,0.8466,0.4444444444444444
1,18,0.8452,0.4444444444444444
1,19,0.8529,0.4444444444444444
1,20,0.8536,0.4444444444444444
1,21,0.848,0.4444444444444444
1,22,0.8475,0.4444444444444444
1,23,0.8472,0.4444444444444444
1,24,0.8494,0.4444444444444444
1,25,0.8436,0.4444444444444444
1,26,0.8526,0.4444444444444444
1,27,0.853,0.4444444444444444
1,28,0.8539,0.4444444444444444
1,29,0.8523,0.4444444444444444
1,30,0.8481,0.4444444444444444
1,31,0.8514,0.4444444444444444
1,32,0.8504,0.4444444444444444
1,33,0.8473,0.4444444444444444
1,34,0.848,0.4444444444444444
1,35,0.8517,0.4444444444444444
1,36,0.8495,0.4444444444444444
1,37,0.8493,0.4444444444444444
1,38,0.8435,0.4444444444444444
1,39,0.8491,0.4444444444444444
1,40,0.8487,0.4444444444444444
1,41,0.8482,0.4444444444444444
1,42,0.8512,0.4444444444444444
1,43,0.8516,0.4444444444444444
1,44,0.847,0.4444444444444444
1,45,0.8502,0.4444444444444444
1,46,0.8527,0.4444444444444444
1,47,0.8457,0.4444444444444444
1,48,0.842,0.4444444444444444
1,49,0.8443,0.4444444444444444
1,50,0.8459,0.4444444444444444
1,51,0.8469,0.4444444444444444
